route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,date
FLIXBUS:110,FLIXBUS,FlixBus,Osnabrück - F - Friedrichshafen,,3,,,,2017-02-13
FLIXBUS:113,FLIXBUS,FlixBus,Saarbrücken - DA - Berlin,,3,,,,2017-02-13
FLIXBUS:115,FLIXBUS,FlixBus,Freiburg - Bayreuth (Uni),,3,,,,2017-02-13
FLIXBUS:117,FLIXBUS,FlixBus,Dortmund  - Konstanz,,3,,,,2017-02-13
FLIXBUS:120,FLIXBUS,FlixBus,Leipzig - MR - Düsseldorf,,3,,,,2017-02-13
FLIXBUS:121,FLIXBUS,FlixBus,München - Dresden - Görlitz,,3,,,,2017-02-13
FLIXBUS:122,FLIXBUS,FlixBus,Frankfurt - Lyon,,3,,,,2017-02-13
FLIXBUS:125,FLIXBUS,FlixBus,Leipzig - B - Rügen,,3,,,,2017-02-13
FLIXBUS:128,FLIXBUS,FlixBus,(Aachen)CGN-F-München,,3,,,,2017-02-13
FLIXBUS:129,FLIXBUS,FlixBus,München - L - Hamburg,,3,,,,2017-02-13
FLIXBUS:131,FLIXBUS,FlixBus,Berlin - H - Meppen,,3,,,,2017-02-13
FLIXBUS:135,FLIXBUS,FlixBus,Berlin - BS - Frankfurt,,3,,,,2017-02-13
FLIXBUS:141,FLIXBUS,FlixBus,Berlin - R - M - Chur,,3,,,,2017-02-13
FLIXBUS:144,FLIXBUS,FlixBus,Berlin - Bremen - Emden (- Norddeich),,3,,,,2017-02-13
FLIXBUS:147,FLIXBUS,FlixBus,Gotha- B - Warnemünde,,3,,,,2017-02-13
FLIXBUS:148,FLIXBUS,FlixBus,Berlin - Ahlbeck (Usedom),,3,,,,2017-02-13
FLIXBUS:149,FLIXBUS,FlixBus,Rostock - Flensburg,,3,,,,2017-02-13
FLIXBUS:150,FLIXBUS,FlixBus,Berlin - HH - Flensburg,,3,,,,2017-02-13
FLIXBUS:151,FLIXBUS,FlixBus,Berlin - Hildesheim,,3,,,,2017-02-13
FLIXBUS:153,FLIXBUS,FlixBus,Berlin - HH - St. Peter-Ording,,3,,,,2017-02-13
FLIXBUS:154,FLIXBUS,FlixBus,Berlin - Erfurt - Düsseldorf,,3,,,,2017-02-13
FLIXBUS:158,FLIXBUS,FlixBus,Berlin - Aachen,,3,,,,2017-02-13
FLIXBUS:160,FLIXBUS,FlixBus,Dresden - Berlin,,3,,,,2017-02-13
FLIXBUS:161,FLIXBUS,FlixBus,Heidelberg - Wien - Bratislava,,3,,,,2017-02-13
FLIXBUS:164,FLIXBUS,FlixBus,Berlin - BS - Hamburg,,3,,,,2017-02-13
FLIXBUS:167,FLIXBUS,FlixBus,Düsseldorf - H - Prag,,3,,,,2017-02-13
FLIXBUS:168,FLIXBUS,FlixBus,Prag - Bayreuth - Frankfurt,,3,,,,2017-02-13
FLIXBUS:170,FLIXBUS,FlixBus,Dresden - Rügen,,3,,,,2017-02-13
FLIXBUS:173,FLIXBUS,FlixBus,Bremen - HH - Kopenhagen,,3,,,,2017-02-13
FLIXBUS:174,FLIXBUS,FlixBus,Aachen - Rostock,,3,,,,2017-02-13
FLIXBUS:184,FLIXBUS,FlixBus,Tübingen - Prag - Krakow,,3,,,,2017-02-13
FLIXBUS:186,FLIXBUS,FlixBus,München - Bamberg,,3,,,,2017-02-13
FLIXBUS:189,FLIXBUS,FlixBus,Berlin - Augsburg,,3,,,,2017-02-13
FLIXBUS:198,FLIXBUS,FlixBus,Tübingen - Hamburg,,3,,,,2017-02-13
FLIXBUS:199,FLIXBUS,FlixBus,Lörrach - Paris,,3,,,,2017-02-13
FLIXBUS:205,FLIXBUS,FlixBus,Braunschweig - München,,3,,,,2017-02-13
FLIXBUS:206,FLIXBUS,FlixBus,Lörrach - München,,3,,,,2017-02-13
FLIXBUS:207,FLIXBUS,FlixBus,Düsseldorf - Mailand,,3,,,,2017-02-13
FLIXBUS:208,FLIXBUS,FlixBus,Freiburg - Basel Euroairport,,3,,,,2017-02-13
FLIXBUS:210,FLIXBUS,FlixBus,Frankfurt - Innsbruck,,3,,,,2017-02-13
FLIXBUS:215,FLIXBUS,FlixBus,Würzburg - Berlin,,3,,,,2017-02-13
FLIXBUS:217,FLIXBUS,FlixBus,Nordhorn - Offenburg,,3,,,,2017-02-13
FLIXBUS:220,FLIXBUS,FlixBus,Breslau - DD - F - Ludwigshafen,,3,,,,2017-02-13
FLIXBUS:225,FLIXBUS,FlixBus,Leipzig - B - Kühlungsborn,,3,,,,2017-02-13
FLIXBUS:227,FLIXBUS,FlixBus,Dortmund - München,,3,,,,2017-02-13
FLIXBUS:236,FLIXBUS,FlixBus,Essen Hbf - München ZOB,,3,,,,2017-02-13
FLIXBUS:239,FLIXBUS,FlixBus,Bernburg - Berlin - Görlitz,,3,,,,2017-02-13
FLIXBUS:244,FLIXBUS,FlixBus,Berlin - Bremen - Groningen,,3,,,,2017-02-13
FLIXBUS:248,FLIXBUS,FlixBus,Berlin - Zingst,,3,,,,2017-02-13
FLIXBUS:249,FLIXBUS,FlixBus,Hamburg - Stettin,,3,,,,2017-02-13
FLIXBUS:250,FLIXBUS,FlixBus,Berlin - HH - Bremerhaven,,3,,,,2017-02-13
FLIXBUS:260,FLIXBUS,FlixBus,Berlin - Prag - Budapest,,3,,,,2017-02-13
FLIXBUS:267,FLIXBUS,FlixBus,Oldenburg - Prag,,3,,,,2017-02-13
FLIXBUS:270,FLIXBUS,FlixBus,Dresden - Kühlungsborn,,3,,,,2017-02-13
FLIXBUS:274,FLIXBUS,FlixBus,Trier - Schwerin - Greifswald,,3,,,,2017-02-13
FLIXBUS:289,FLIXBUS,FlixBus,Berlin - Amberg,,3,,,,2017-02-13
FLIXBUS:310,FLIXBUS,FlixBus,Bochum-F-M-Passau,,3,,,,2017-02-13
FLIXBUS:313,FLIXBUS,FlixBus,Frankfurt - Berlin,,3,,,,2017-02-13
FLIXBUS:320,FLIXBUS,FlixBus,Dresden - Saarbrücken,,3,,,,2017-02-13
FLIXBUS:338,FLIXBUS,FlixBus,Berlin - Köln KBA,,3,,,,2017-02-13
FLIXBUS:350,FLIXBUS,FlixBus,Berlin - HH - Lübecker Bucht,,3,,,,2017-02-13
FLIXBUS:354,FLIXBUS,FlixBus,Berlin - Jena - Saalfeld,,3,,,,2017-02-13
FLIXBUS:359,FLIXBUS,FlixBus,Berlin - Hannover,,3,,,,2017-02-13
FLIXBUS:400,FLIXBUS,FlixBus,Mailand - VR - Venedig,,3,,,,2017-02-13
FLIXBUS:402,FLIXBUS,FlixBus,Zagreb - Torino,,3,,,,2017-02-13
FLIXBUS:403,FLIXBUS,FlixBus,Turin - Udine,,3,,,,2017-02-13
FLIXBUS:404,FLIXBUS,FlixBus,Turin - Marseille,,3,,,,2017-02-13
FLIXBUS:406,FLIXBUS,FlixBus,Torino - Venezia - Trieste,,3,,,,2017-02-13
FLIXBUS:407,FLIXBUS,FlixBus,Meran - Turin,,3,,,,2017-02-13
FLIXBUS:415,FLIXBUS,FlixBus,Bergamo - Perugia,,3,,,,2017-02-13
FLIXBUS:420,FLIXBUS,FlixBus,Milano - Bari,,3,,,,2017-02-13
FLIXBUS:421,FLIXBUS,FlixBus,Milano - Pescara,,3,,,,2017-02-13
FLIXBUS:423,FLIXBUS,FlixBus,Turin - Mailand - Ravenna,,3,,,,2017-02-13
